epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.8382,1.38808,3.85209,1.21057,0.209,0.13735,0.05466,0.0359,1.29306,2.86342,1.11868,0.00015109,0.00015109,0.00015109
2,50.6594,1.38008,3.01421,1.1962,0.19758,0.15275,0.0755,0.04929,1.28343,2.6947,1.14678,0.000299759,0.000299759,0.000299759
3,75.4217,1.37798,2.80738,1.19881,0.17933,0.17652,0.08592,0.05795,1.27907,2.81938,1.13696,0.000445426,0.000445426,0.000445426
4,105.096,1.36541,2.69955,1.18894,0.23873,0.18851,0.10649,0.06962,1.30326,2.602,1.1169,0.000441486,0.000441486,0.000441486
5,138.26,1.33406,2.52626,1.17384,0.3236,0.17965,0.11495,0.07691,1.24299,2.55461,1.10355,0.000436982,0.000436982,0.000436982
6,171.779,1.30325,2.41091,1.16391,0.3177,0.18183,0.13307,0.08951,1.23887,2.39758,1.10713,0.000432478,0.000432478,0.000432478
7,204.87,1.30245,2.30586,1.1482,0.25192,0.21237,0.13831,0.09676,1.21302,2.37966,1.09668,0.000427973,0.000427973,0.000427973
8,233.471,1.27536,2.21479,1.14007,0.3028,0.21229,0.15517,0.11017,1.21366,2.34947,1.0956,0.000423468,0.000423468,0.000423468
9,258.658,1.27163,2.15455,1.13524,0.32946,0.17008,0.13928,0.09517,1.2591,2.87493,1.1234,0.000418964,0.000418964,0.000418964
10,288.249,1.25712,2.05926,1.12822,0.37726,0.2053,0.16936,0.11937,1.19875,2.3371,1.08133,0.00041446,0.00041446,0.00041446
11,319.455,1.24381,1.99483,1.11687,0.32787,0.2194,0.17276,0.12429,1.22375,2.26814,1.08157,0.000409955,0.000409955,0.000409955
12,347.457,1.24205,1.92497,1.11546,0.30316,0.2163,0.16473,0.11682,1.22118,2.31152,1.09861,0.000405451,0.000405451,0.000405451
13,371.957,1.20906,1.86273,1.10676,0.33182,0.22149,0.17308,0.1234,1.20633,2.29432,1.08923,0.000400946,0.000400946,0.000400946
14,405.506,1.20928,1.83084,1.11079,0.36923,0.23436,0.18409,0.13597,1.17894,2.22108,1.07499,0.000396441,0.000396441,0.000396441
15,439.428,1.20215,1.78433,1.10866,0.358,0.23936,0.19235,0.14075,1.19231,2.25401,1.08479,0.000391937,0.000391937,0.000391937
16,467.528,1.19355,1.73564,1.09262,0.32611,0.24302,0.19141,0.13689,1.18927,2.2562,1.08431,0.000387433,0.000387433,0.000387433
