epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.3025,2.59813,4.22008,3.00999,0.34762,0.31609,0.30636,0.15385,3.68997,5.61562,4.91339,0.000415385,0.000415385,0.000415385
2,162.072,2.90591,3.5761,3.26929,0.53223,0.4472,0.44927,0.26808,2.79129,3.68513,3.48306,0.000823814,0.000823814,0.000823814
3,237.986,2.84799,3.41146,3.22553,0.56228,0.42342,0.4546,0.28434,2.72714,5.05117,3.33286,0.00122399,0.00122399,0.00122399
4,314.178,2.74551,3.19564,3.13836,0.55034,0.55074,0.5632,0.37572,2.34533,2.86097,3.03477,0.00121287,0.00121287,0.00121287
5,392.391,2.59793,2.85007,3.03482,0.6321,0.5191,0.54221,0.36203,2.3105,2.9271,2.91472,0.0012005,0.0012005,0.0012005
6,469.071,2.559,2.67817,3.00186,0.63925,0.69322,0.71249,0.48995,2.16581,1.97796,2.82174,0.00118812,0.00118812,0.00118812
7,545.795,2.44869,2.48189,2.9294,0.7026,0.72101,0.74401,0.52985,2.04732,1.78411,2.72519,0.00117575,0.00117575,0.00117575
8,622.608,2.40223,2.39588,2.87564,0.7081,0.65103,0.73158,0.4865,2.15671,2.29018,2.77981,0.00116337,0.00116337,0.00116337
9,699.617,2.36646,2.30624,2.84336,0.77744,0.71853,0.79494,0.55528,2.06367,1.76489,2.70264,0.001151,0.001151,0.001151
10,776.648,2.3218,2.19715,2.81065,0.77295,0.69187,0.7539,0.54324,2.06331,1.67497,2.77036,0.00113863,0.00113863,0.00113863
11,853.486,2.29877,2.09506,2.81408,0.72415,0.73035,0.76098,0.5421,2.06163,1.78547,2.73818,0.00112625,0.00112625,0.00112625
12,930.616,2.26217,2.02392,2.77269,0.77969,0.7254,0.76601,0.55357,1.99149,1.61185,2.6695,0.00111388,0.00111388,0.00111388
13,1007.66,2.21765,1.9886,2.75318,0.78133,0.78553,0.85064,0.60886,1.92579,1.47637,2.63641,0.0011015,0.0011015,0.0011015
14,1084.6,2.23181,1.9618,2.74657,0.78348,0.73106,0.79023,0.5842,1.9047,1.4886,2.6251,0.00108913,0.00108913,0.00108913
15,1161.45,2.18101,1.8779,2.70117,0.78751,0.77895,0.82063,0.60849,1.84081,1.54326,2.59351,0.00107675,0.00107675,0.00107675
16,1238.29,2.19771,1.91697,2.70183,0.8437,0.77915,0.85376,0.62475,1.85245,1.34914,2.56307,0.00106437,0.00106437,0.00106437
17,1315.09,2.15677,1.81434,2.69541,0.84297,0.79405,0.86283,0.63737,1.84052,1.33719,2.57694,0.001052,0.001052,0.001052
18,1392.05,2.11137,1.74291,2.64633,0.82212,0.79025,0.84694,0.63349,1.83504,1.29183,2.56597,0.00103962,0.00103962,0.00103962
19,1468.73,2.1031,1.71499,2.67057,0.87579,0.78789,0.86745,0.63664,1.92953,1.26437,2.60385,0.00102725,0.00102725,0.00102725
20,1546.48,2.1004,1.7432,2.65755,0.85073,0.83891,0.87931,0.65339,1.85263,1.24546,2.56759,0.00101488,0.00101488,0.00101488
21,1626.05,2.07692,1.69934,2.63703,0.83692,0.78486,0.8645,0.65387,1.76152,1.31725,2.4891,0.0010025,0.0010025,0.0010025
22,1705.44,2.05429,1.6707,2.62414,0.84626,0.84284,0.87322,0.65557,1.76925,1.23454,2.4906,0.000990125,0.000990125,0.000990125
23,1784.93,2.05906,1.59694,2.6115,0.86996,0.85252,0.89129,0.66174,1.8024,1.15678,2.52133,0.00097775,0.00097775,0.00097775
24,1864.55,2.03017,1.60006,2.60633,0.82684,0.81057,0.8573,0.65195,1.77474,1.31049,2.525,0.000965375,0.000965375,0.000965375
25,1944.01,2.01811,1.56729,2.60539,0.86088,0.75154,0.82919,0.62598,1.81876,1.48171,2.53822,0.000953,0.000953,0.000953
26,2023.61,1.98486,1.55375,2.58924,0.882,0.80547,0.89317,0.6701,1.72966,1.14725,2.46702,0.000940625,0.000940625,0.000940625
27,2103.51,1.99264,1.55093,2.58216,0.87882,0.84791,0.89917,0.68404,1.74342,1.05563,2.47631,0.00092825,0.00092825,0.00092825
28,2182.86,1.9817,1.52293,2.58121,0.87996,0.85163,0.89559,0.68499,1.71624,1.04745,2.46574,0.000915875,0.000915875,0.000915875
29,2262.59,1.97818,1.50954,2.56658,0.91208,0.83403,0.90414,0.70482,1.67536,1.01469,2.41219,0.0009035,0.0009035,0.0009035
30,2342.24,1.96517,1.46555,2.55736,0.87807,0.85052,0.90266,0.68789,1.70608,1.01855,2.43643,0.000891125,0.000891125,0.000891125
31,2421.98,1.9567,1.45596,2.55542,0.89546,0.84251,0.89412,0.68809,1.69375,1.06003,2.45627,0.00087875,0.00087875,0.00087875
32,2501.71,1.98367,1.50911,2.55507,0.90261,0.84947,0.90045,0.69342,1.67087,0.98932,2.41248,0.000866375,0.000866375,0.000866375
33,2581.27,1.91662,1.4145,2.54138,0.89017,0.839,0.88435,0.68471,1.6769,1.05083,2.41707,0.000854,0.000854,0.000854
34,2658.3,1.94215,1.42868,2.53195,0.91245,0.82884,0.90599,0.69791,1.68631,1.03373,2.42193,0.000841625,0.000841625,0.000841625
35,2735.48,1.92551,1.39563,2.53997,0.85075,0.88215,0.9141,0.71091,1.65052,0.96927,2.40526,0.00082925,0.00082925,0.00082925
36,2812.44,1.87373,1.34376,2.51395,0.84543,0.86686,0.90679,0.69482,1.63998,1.02626,2.38872,0.000816875,0.000816875,0.000816875
37,2889.24,1.8627,1.35243,2.4886,0.87753,0.85536,0.90256,0.6954,1.68068,0.99094,2.41656,0.0008045,0.0008045,0.0008045
38,2966.5,1.86466,1.31515,2.48737,0.86768,0.85789,0.8986,0.69729,1.64556,0.99931,2.37824,0.000792125,0.000792125,0.000792125
39,3043.63,1.87165,1.32523,2.4844,0.87878,0.87924,0.92416,0.71889,1.65011,0.95865,2.37781,0.00077975,0.00077975,0.00077975
40,3120.65,1.86184,1.33424,2.48513,0.89113,0.85356,0.91464,0.70988,1.64808,0.967,2.40254,0.000767375,0.000767375,0.000767375
41,3197.57,1.84965,1.32281,2.47909,0.89823,0.88879,0.9304,0.73177,1.60214,0.92412,2.35295,0.000755,0.000755,0.000755
42,3275.45,1.82209,1.27902,2.45386,0.89395,0.88392,0.93161,0.72407,1.61696,0.91261,2.33844,0.000742625,0.000742625,0.000742625
43,3355.08,1.83943,1.27163,2.47734,0.87502,0.87412,0.91668,0.71993,1.59892,0.92338,2.3451,0.00073025,0.00073025,0.00073025
44,3434.77,1.81435,1.23773,2.44857,0.88142,0.91627,0.93029,0.72576,1.62078,0.86902,2.37214,0.000717875,0.000717875,0.000717875
45,3514.76,1.81975,1.25559,2.46344,0.86989,0.89578,0.91971,0.71933,1.6386,0.95518,2.38904,0.0007055,0.0007055,0.0007055
